"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CCL51",1.53899893164282e-298,0.591175153869621,0.99,0.781,2.33604647834063e-294,"1","CCL5",0.209
"SYNE1",9.3083865401802e-296,0.59614304815983,0.976,0.784,1.41291999293395e-291,"1","SYNE1",0.192
"EOMES",6.09792194350306e-289,0.721188187968398,0.558,0.14,9.2560357180433e-285,"1","EOMES",0.418
"CLIC3",2.16742340621399e-272,0.799895243083617,0.562,0.153,3.28993198829221e-268,"1","CLIC3",0.409
"MYO1F",2.19794597868877e-271,0.543174915055005,0.969,0.687,3.33626220105168e-267,"1","MYO1F",0.282
"PLAC8",3.11466997660104e-256,0.617199578204531,0.926,0.56,4.72775755748271e-252,"1","PLAC8",0.366
"TTC38",4.92029731036318e-246,0.739351274139154,0.681,0.267,7.46851928740027e-242,"1","TTC38",0.414
"GZMB",1.10575178505595e-245,0.705625996177732,0.888,0.519,1.67842063453643e-241,"1","GZMB",0.369
"C12ORF75",8.87017933797278e-240,0.680760944354596,0.816,0.413,1.34640452171089e-235,"1","C12ORF75",0.403
"ADRB2",1.85881381512006e-238,0.708057080439756,0.636,0.225,2.82149348997074e-234,"1","ADRB2",0.411
"OSBPL5",1.3338395798015e-236,0.622414017409878,0.387,0.074,2.0246350981807e-232,"1","OSBPL5",0.313
"GIMAP7",9.13597348389759e-231,0.578696356721021,0.943,0.572,1.38674941512081e-226,"1","GIMAP7",0.371
"FAM65B",1.5546502519915e-228,0.548267501702231,0.954,0.637,2.35980361749789e-224,"1","FAM65B",0.317
"A2M",5.75734653486394e-226,0.726044993425182,0.689,0.282,8.73907630526997e-222,"1","A2M",0.407
"A2MP1",3.18883621522959e-223,0.521154693221449,0.314,0.049,4.84033449109699e-219,"1","A2MP1",0.265
"HOPX",5.15419697049843e-221,0.678619618652735,0.854,0.532,7.82355558151956e-217,"1","HOPX",0.322
"APMAP",5.86656367763398e-219,0.587719651517301,0.891,0.585,8.90485700628061e-215,"1","APMAP",0.306
"PXN",2.68452669319295e-217,0.58827335282438,0.819,0.415,4.07484306759758e-213,"1","PXN",0.404
"CD244",6.50534725123379e-216,0.719166492874566,0.637,0.248,9.87446659264776e-212,"1","CD244",0.389
"ADGRG5",1.95166933384694e-215,0.642026277940676,0.528,0.158,2.96243888184627e-211,"1","ADGRG5",0.37
"RASSF1",8.97572039832737e-211,0.60085428202892,0.825,0.449,1.36242459926211e-206,"1","RASSF1",0.376
"KLRC4",1.81727678567468e-209,0.655138269011373,0.403,0.091,2.75844443297559e-205,"1","KLRC4",0.312
"GIMAP4",3.28609591607145e-207,0.56766060525188,0.904,0.571,4.98796499100486e-203,"1","GIMAP4",0.333
"AOAH",5.26299381425572e-207,0.585418845384405,0.871,0.491,7.98869831065876e-203,"1","AOAH",0.38
"PLEKHF1",1.31259422603469e-204,0.664273703099851,0.488,0.143,1.99238677569805e-200,"1","PLEKHF1",0.345
"MBP",3.4758253735137e-204,0.516244425060223,0.909,0.607,5.27595533445644e-200,"1","MBP",0.302
"TSPAN32",1.36667441482539e-200,0.662267298006237,0.62,0.227,2.07447509426346e-196,"1","TSPAN32",0.393
"ZAP70",3.59492139074586e-198,0.508488588364069,0.948,0.564,5.45673117901314e-194,"1","ZAP70",0.384
"CMC1",6.53164121830466e-196,0.645466211557669,0.728,0.367,9.91437820526464e-192,"1","CMC1",0.361
"PTPN4",2.38546949277675e-194,0.588774566496137,0.862,0.53,3.62090414308583e-190,"1","PTPN4",0.332
"CD300A",2.31490591748814e-192,0.671485752587356,0.655,0.284,3.51379569215524e-188,"1","CD300A",0.371
"PRSS23",1.15655028535761e-189,0.701663193994241,0.775,0.476,1.75552767814432e-185,"1","PRSS23",0.299
"CEP78",1.68422898326891e-184,0.687404741248031,0.741,0.42,2.55649117370388e-180,"1","CEP78",0.321
"NCR1",1.55466245937551e-181,0.646897878044466,0.41,0.112,2.35982214708609e-177,"1","NCR1",0.298
"GZMM",1.55946902808426e-181,0.667271909258035,0.62,0.25,2.3671180377291e-177,"1","GZMM",0.37
"MYBL1",5.17556301087873e-173,0.540315650307833,0.419,0.117,7.85598709421282e-169,"1","MYBL1",0.302
"CD247",8.93168649962931e-173,0.507423886274787,0.898,0.574,1.35574069377873e-168,"1","CD247",0.324
"PATL2",1.44170416338402e-172,0.659489406690092,0.738,0.419,2.18836274960061e-168,"1","PATL2",0.319
"GPR141",2.7301606092911e-169,0.568089545783744,0.361,0.088,4.14411078884295e-165,"1","GPR141",0.273
"LYAR",3.39082294845896e-168,0.611011824961137,0.657,0.306,5.14693015346586e-164,"1","LYAR",0.351
"USP28",6.35049705222909e-168,0.646410824373203,0.615,0.277,9.63941947557854e-164,"1","USP28",0.338
"DENND2D",6.14886043675666e-166,0.526475824840633,0.846,0.507,9.33335525695293e-162,"1","DENND2D",0.339
"RAP1GAP2",1.85866449375252e-165,0.518770390137663,0.449,0.138,2.82126683506696e-161,"1","RAP1GAP2",0.311
"ITGAM",6.24608364930735e-161,0.563329891442006,0.517,0.186,9.48093037128363e-157,"1","ITGAM",0.331
"SLAMF7",1.00688593821589e-151,0.506866201437618,0.871,0.563,1.5283521656179e-147,"1","SLAMF7",0.308
"PRR5L",4.4478285588692e-150,0.55560725648889,0.43,0.137,6.75135896950756e-146,"1","PRR5L",0.293
"FCRL3",1.71361818627774e-139,0.550386034469705,0.535,0.22,2.60110104495099e-135,"1","FCRL3",0.315
